company,position,skill
씨앤유글로벌,백엔드 개발자 (5년 이상),"Java, Spring, Oracle, MariaDB"
델레오코리아,[플랫폼개발팀] Java Senior 개발자,"REST, API, Java, Spring, Boot, Kafka, Hibernate, Git, Jira, Notion, AWS"
씨메스,백엔드 개발자,"KS, ELK, Kubernetes, Ansible, C++, GitLab, Airflow, Grafana"
WATA Inc.,Java 백엔드 개발자(5~10년) 모집,"Java, Spring, Framework, JSP, AWS, REST, API, Linux, Python"
오로라파이브,Back-End 개발자(3년 이상 필수),"MongoDB, TypeScript, MySQL, Nodejs, ExpressJS, Sequelize, AWS"
코보시스,서버 개발자,"Java, Spring, Boot, JSP, Linux, Mybatis, Oracle, MySQL, Bootstrap, REST, API"
아인잡,자사 웹/앱 플랫폼 개발팀장,"Git, MySQL, Java, AWS, NoSql, Docker, Spring, Framework, Data, JPA, REST, API"
위드네트웍스,네트워크 정보보호 개발자 (경력),"Java, Spring, Boot, React, TypeScript, MySQL, MongoDB, Git, Jenkins, Jira"
마스터웨이,Spring 백엔드 개발자 추가 모집,"Spring, MySQL, Data, JPA, QueryDSL, Grafana, Docker, AWS, Git"
미소,Back-end Developer (5년 이상),"MSA, Nodejs, AWS, TypeScript, ExpressJS, Koa, Serverless"
업스테이지,AI DevOps,"AI, Oracle, MariaDB, PostgreSQL, Cassandra, NoSql, XML, JSON, Python, AWS"
업스테이지,AI Model Production - LLM,AI
콜로세움코퍼레이션,Backend Engineer(5년 이상),"Java, Gradle, Kotlin, Spring, Boot, Batch, MySQL, Data, JPA, Mybatis, QueryDSL, Amazon, RDS, Git"
업스테이지,[전문연구요원]AI엔지니어-DocumentAI,"Python, Java, AI, Ubuntu, Windows"
와탭랩스,서버 엔지니어,"Linux, Windows, Python, Shell"
업스테이지,[전문연구요원]AI연구엔지니어-LLM,"AI, TensorFlow, PyTorch, NLP"
센트비,Backend Engineer (Go),"Golang, gRPC, PostgreSQL, Redis, Git, Docker, Jira, Confluence"
쥬비스다이어트,인프라 개발 경력직 채용,"Java, Spring, Framework, Boot, MySQL, Angular, React, Vuejs, NoSql, DB, AWS"
빌드코퍼레이션,[개발] Backend Developer,"Nodejs, Nextjs, GitHub, Actions, Pulumi, AWS"
미디어로그,SM/SI 개발 채용,"Java, Spring, Boot, Vuejs, Reactjs, Boilerplate, Oracle, MySQL"
미디어로그,SI 개발,"Java, Spring, Boot, Vuejs, Oracle, Python, Elasticsearch, AWS"
로지소프트,서버개발자 채용,"AZURE, C#, C++, NoSql, Nodejs, Linux, SQL, MSSQL"
세나테크놀로지,백엔드(서버) 개발자 채용,"AWS, GitLab, Jenkins, Groovy, Git, WebRTC, Rust, KS, Docker"
미리비트,빅데이터 K8S환경 구축 운영,"Apache, Impala, Docker, KS, Hadoop, Airflow, Kubeflow, Python, Jenkins, Rancher, Helm"
잉카엔트웍스,"Tech Lead (Backend, Frontend, Cloud SaaS)","AWS, Elasticsearch, Java, Spring, Boot, Kafka, Docker, Kubernetes, MSA"
씨알에스큐브,웹 개발자(경력) 채용,"Java, jQuery, JavaScript, HTML, TypeScript, CSS, MariaDB, PostgreSQL, Spring, Framework, Oracle, PLSQL"
에이아이커넥트,[Spring] Backend Engineer (7년차 이상),"Spring, Boot, PostgreSQL, AWS, Docker, Kubernetes, Redis, Swagger, Codegen, Kotlin"
미디어로그,SI 개발 PM,"Java, Nodejs, Vuejs, Oracle, MySQL, Docker, Kubernetes, AWS, Python"
슈프리마,웹서버 개발자 모집,"C++, Java, Spring, React"
잉카엔트웍스,"백엔드 개발자 (Java & Spring, AWS 클라우드)","AWS, Kafka, Java, Spring, Framework, MSA, Docker, KS"
씨메스,backend (python) 개발자,"Python, JavaScript, MariaDB, C++"
뷰런테크놀로지,Backend Developer(백엔드 개발자),"Golang, Linux"
아인잡,HR 플랫폼 백엔드 개발 리더 PM,"Git, Spring, Framework, MySQL, REST, API, NoSql, Java, AWS, Data, JPA, Amazon, RDS, Docker"
개념원리,개발 팀장 채용 (10년~13년),"MSA, Nextjs, TypeScript, Flutter, AWS, CloudHSM, Amazon, EKS, Kafka, Java, Spring, Boot, Python"
슈프리마,얼굴인식 서버 풀스택 소프트웨어 개발자,"C++, Go"
EVAR,전기차 충전 백엔드 개발자 채용,"AWS, Docker, MSA, Nodejs, TypeScript, NoSql, DB"
윌로그,"백엔드 개발자_Node.js, NestJS(10년 이상)","TypeScript, NestJS, GraphQL, REST, API, AWS, GitHub, Docker"
코그넷나인,Java 개발자(책임급),"Java, Spring, Framework, jQuery"
드림에이스,백엔드(Back-end) S/W 개발,"C, C++, Java, Linux, Python, Kotlin, Docker, NGINX, AWS, AZURE"
리사이클팜코리아,백엔드 & 블록체인 개발자,"Firebase, Nodejs, Nft, Kubernetes, Helm, CloudFlare, GitHub, Blockchain, Cloud, Firestore, Cloudflare, CDN"
엠지알브이,[MGRV] Backend Engineer Lead,"Java, Kotlin, Python, AWS, Kubernetes, Git, Spring, Boot, NGINX, Docker, Jenkins"
리비바이오,백엔드개발자(Node.js),"Git, Nodejs, REST, API, AWS"
버추얼랩,백엔드 개발자,"Django, Backendless"
플래티어,[ECS사업부문] 어플리케이션 아키텍트,"AWS, AZURE, Azure, DevOps, Python, JavaScript, Spring, GitLab, QueryDSL"
지니언스,"사내그룹웨어,파트너 B2B 서비스 개발","Laravel, Travis, CI, PHP, Git, JavaScript, jQuery, ES"
피에프씨테크놀로지스,Back-end Engineer (Platform Service Team),"Django, FastAPI, REST, API, Python, Vuejs, Angular, React"
위드네트웍스,보안 솔루션 프론트/백엔드 개발자,"Vuejs, Nodejs, Python, MongoDB, Docker, Linux"
