company,position,skill
(주)크라우드웍스,[크라우드웍스] AI솔루션팀 Full-stack 개발자,"Python, Java, JavaScript, React, RAG, Linux"
빌드코퍼레이션,[개발] Backend Developer,"AWS, GitHub, Nodejs, Nextjs"
주식회사 트라이포드랩,트라이포드랩에서 함께 성장해나갈 리드 개발자를 모십니다.,"Java, Spring, Boot, NestJS, React, AWS, DBMSRDBMS"
마이플레이컴퍼니,개발팀 리더,"Python, DjangoRESTFramework, Django, AWS, awsec, Lambda"
휴머스온,Backend Engineer(메세징 서비스 기술 운영),"Linux, MySQL, Oracle"
텔레픽스 주식회사,백엔드 개발자,"Python, JavaScript, FastAPI, PostgreSQL, MongoDB, Redis, AWS"
(주)디랙스,DB 모델러 모집,"modeling, DBMSRDBMS, MySQL, querytuning"
(주)필라넷,(주)필라넷 생성형 AI 애플리케이션 개발자 채용,"Python, Nodejs, TypeScript, Azure, AI, Teams, Microsoft, Copilot"
주식회사 파워테스크,클라우드 엔지니어 / DevOps 엔지니어,"devops, cloudplatform"
(주)알로카도스,시니어 파이썬 백엔드 엔지니어,"AWS, Django, Docker, Flask, FastAPI, MongoDB, Kubernetes, Redis, MySQL"
한솔코에버주식회사,RPA 구축 및 유지보수 담당자 모집,"UiPath, Python, VBA, C#"
코코네 M,(Cocone M)  SRE엔지니어 (Site Reliability Engineering),"AWS, Docker, CICD, Jenkins"
브이아이펫,[재택근무 주1회]펫VIP(브이아이펫)React Native 개발 가능한 풀스텍개발자 모집,"React, Native, Java, JavaScript"
(주)엔블리스컴즈,안드로이드 앱 개발자,"Kotlin, Java, Swift"
(주)브리치,[비플로우] 백엔드/서버 개발자,"PHP, JavaScript, Python, Nodejs, Spring, Boot, AWS"
(주)스플랩,[umoh] 데이터 라벨링 & 리서치 인턴 모집 🚀,"Excel, Google, Sheets, Python, SQL, Apps, Script"
룰루랩,[룰루랩] 서버/백엔드 개발자,"Java, Kotlin, devops, mlops"
디오코,의료용(치과) 3D SW 개발자 채용,"C++, mfc, OpenGL"
SK(주) C&C,[SK(주) C&C 자회사_Ackerton Partners] DT 컨설턴트 모집(정규직),"IT, dt"
스팬딧,시니어 백엔드 개발자,"Ruby, on, Rails, Java, Spring, Boot, AWS, JPA, Github, MySQL, PostgreSQL"
주식회사 유니유니,[주식회사 유니유니] ‘AI 개발자’ 채용,"AI, Python"
데이터메이커,백엔드 개발자,"Django, Python, drf, PostgreSQL, Redis, Git"
아파트아이,프론트엔드 개발자 (React.JS_주니어),"RxJS, React, NET, Vuejs, DBMSRDBMS, jQuery"
주식회사 왈라,[패션 스타트업 WALA] 개발팀 리드(팀장급),"AWS, backend, Google, Cloud, Platform, Java, MySQL, mysqlquery, JPA, Spring, Boot, Python"
링크루트,[경력] 백엔드 엔지니어,"Python, Django, djangocelery, Redis, Docker, Kubernetes, PostgreSQL, Java, springframework"
뷰메진,[뷰메진]컴퓨터비전 엔지니어 Mid / Senior (경력 3년↑),"Linux, OpenCV, Python, Git, Docker, PyTorch, Tensorflow, Github"
아파트아이,프론트엔드 개발자 (React.JS_주니어),"RxJS, React, NET, Vuejs, DBMSRDBMS, jQuery"
(주)트레블씨투비,"모바일 앱 개발자(Android, iOS)","Kotlin, Swift, Git, GitHub, iOS, Android"
주식회사 메가인포아이티,Frontend 개발자(3년이상),"AWS, HTMLCSS, GitHub, JavaScript, React"
(주)엔블리스컴즈,백엔드/서버 개발자,"AWS, MySQL, Spring, Boot, BackEnd, Web, API"
씨드앤,프론트엔드 리드 개발자 (6년 이상),"TypeScript, HTMLCSS, Redux, React, Native"
SK(주) C&C,"제2금융권(보험,증권) 서버 운영 업무 수행 구성원 영입","Windows, Server"
SK(주) C&C,"제2금융권(증권, 보험) Middleware 운영 업무 수행 구성원 영입 (촉탁직)","apachetomcat, nginx"
주식회사 네일톡톡,앱 리드 개발자 채용,"Flutter, dart, iOS, Android"
장가 컴퍼니,"PHP 개발자 / fastAPI 개발 (경력무관, 4000이상)","PHP, Python"
(주)오메타,iOS 개발자,"iOS, Swift, Java, MVC"
하나투어,DBA 경력직원 채용 공고,"Oracle, PostgreSQL, MariaDB"
플릭,Founding ML Engineer,"AI, Agent, LLM, PyTorch"
(주)패스트레인,프론트엔드 개발자,"JavaScript, TypeScript, React, Nextjs, zustand, reactquery, Git, githubactions, Figma, JIRA"
주식회사 페칭,[페칭] 패션 플랫폼 React 프론트엔드 개발자 경력직,"React, Native, nextjs, tailwindcss, Redux"
휴머스온,Sr. Backend Engineer,"backend, Java, springframework, REST, API, api, Spring, Boot, programminglanguages"
이수시스템,[이수그룹] IT기업 MS365 담당 및 네트워크 운영자 함께 해요!,"Teams, MSOffice"
주식회사 파워테스크,AI Engineer,"LLM, Python, RAG, AI, Agent"
(주)팜존에스엔씨,[팜존에스엔씨] JAVA 주니어(1~3년) 경력 개발부문 채용,"JavaScript, Java, MySQL, JSP, MSSQL, Oracle"
도시미래시도,AI 온라인 교육 프로젝트 멘토,"Azure, AI"
TIM Robotics,React.JS (Next.JS) 프론트엔드 엔지니어,"reactjs, Nextjs, TypeScript, TypeORM"
올거나이즈코리아주식회사,[AI Startup] 파이썬 백엔드 엔지니어,"Docker, Django, Python, Keras"
(주)알로카도스,시니어 클라우드 인프라 엔지니어,"AWS, Terraform, Ansible, Django, Docker, Flask, FastAPI, MongoDB, MySQL, Kubernetes"
애자일,프론트엔드 개발자,"JavaScript, Vuejs, Java, JSP, Jira, Cloud, confluence, cloud"
센트비,Backend Engineer (Java/Kotlin),"Kotlin, Java, Spring, Boot, springframework, JPA, Docker, Kubernetes, Git, GitHub, AWS"
(주)다날,다날 테스트 자동화 개발 담당 경력 채용,"Python, Java"
솔로트립,"프론트엔드 개발자 (React, React.Native)","React, Native, GraphQL"
룰루랩,[룰루랩] AI개발자 (3D 피부분석),"Python, PyTorch"
마야크루,백엔드 개발자,"expressjs, Nodejs, JavaScript, TypeScript, REST, API, MySQL, MongoDB, AWS, Docker, Kubernetes"
올거나이즈코리아주식회사,[AI Startup] 데브옵스 엔지니어,"Docker, Python, Linux"
21세기전파상,개발 총괄 [CTO],"Git, Github, AWS, MySQL, SQL, JavaScript, React, Native, Nodejs"
베링랩,백엔드 개발자 (Rust),"Rust, Python, devops, backend, CICD, MSA, Kubernetes"
리빌더AI,[리빌더AI] 백엔드 개발자 모집,"Java, Spring, DBMSRDBMS"
브랜디,프론트엔드 개발자 (Front-end Developer),"Java, JavaScript, Nodejs, REST, API, Nextjs, Vuejs, TypeScript, Webpack"
사이벨 헬스 (주),[Sibel Health] 사이벨헬스 QA엔지니어 채용 (경력),
엑세스 주식회사,프론트엔지니어 개발자(시니어/미들),"JavaScript, Kotlin, Java, reactjs, Vuejs, Angular, TypeScript, Nextjs, Jetpack"
콘센트릭스 Catalyst,GA/AA 데이터 분석가,"Google, Analytics, SQL"
해킹그로스길드,시니어 솔루션 엔지니어 채용,"mixpanel, GA, Amplitude, Google, Analytics, Tag, Manager, iOS, Android, Python"
(주)캐시멜로,핀테크 기업 [캐시멜로] DevOps 개발자 채용(경력 3년이상),"Kubernetes, Java, Spring, Boot, Docker, Prometheus"
(주)에스아이에이,DevOps Engineer (3년 이상),"Terraform, helm, Kubernetes, eks, AWS, Google, Cloud, Platform, PostgreSQL, Redis, githubactions"
피벗 주식회사,NestJS 개발자,"JavaScript, TypeScript, Nodejs, NestJS"
(주)크라우드웍스,[크라우드웍스] AI플랫폼팀 Full-stack 개발자(Senior),"Java, Python, LLM, RAG, Docker"
(주)트루엔,FW(펌웨어) 경력 개발자 집중 채용 (3년 이상),"REST, API, C++, C, Linux, MySQL"
(주)캐처스,Ruby On Rails 개발,"Ruby, on, Rails"
(주)뷰런테크놀로지,시스템 SW 엔지니어,"C, C++, Qt, tcpip, multithread"
주식회사 다이노즈,React / Next.js 웹개발자 (경력 2년 이상),"React, Nextjs, TypeScript, HTMLCSS, Firebase, Git, GitHub, githubactions"
찾아줘부동산,프롭테크 웹서비스 개발 리딩,"Java, Spring, Boot, JPA, MariaDB"
인텔렉투스,Backend(API) SW Engineer,"TypeScript, serversidejavascript, database, DBMSRDBMS, AWS, Google, Cloud, Platform, awsserverless"
누리미디어,[개발운영] 네이티브 앱 개발자 (경력),"Flutter, ObjectiveC, Swift, swiftios, iOS, Java, Kotlin, C++, C#, NET"
(주)엠앤디,"웹개발 - 백엔드 ( Python, FastAPI, Pandas, Docker )","Python, FastAPI, Pandas, Docker, pytest, PostgreSQL, SQLAlchemy, Kafka, Kubernetes"
(주)뷰런테크놀로지,Perception Engineer,"C, C++, Python"
(주)다날,다날 결제시스템 서버개발자 증원 채용 - 성장하는 팀과 함께할 동료를 찾습니다,"Java, Spring, Boot, springframework, Batch, JPA, Docker, elk, MySQL, MSSQL, PostgreSQL"
(주)크라우드웍스,[크라우드웍스] 데이터플랫폼팀 Full-stack 개발자,"vue, React, TypeScript, css, Nuxtjs, nextjs, Sass, Java, Spring, Boot, Git"
오드컨셉주식회사,데이터 엔지니어,"JavaScript, HTMLCSS, React, Vuejs, Git, Python"
하이프로토콜,[Web3] 크로스체인 프로토콜 프론트엔드 시니어 개발자 채용,"TypeScript, React, Redux, reactquery, Nextjs, websockets"
주식회사 페칭,[페칭] 패션 플랫폼 Node.js 백엔드 개발자 경력직,"Nodejs, TypeScript, NestJS, MySQL, awsrds, rabbitmq, Nextjs, React, Native"
와탭랩스,백엔드 에이전트 개발자(C&C++),"C, C++, SQL, DBMSRDBMS, MSA"
브이피피랩,Data Scientist 경력 채용,"Python, Tensorflow"
한솔코에버주식회사,JAVA 개발자 경력직 채용,"Java, Vuejs, JPA, Spring, Boot"
(주)올리브헬스케어,윈도우용 의료기기  SW 개발자 채용,"C++, C#, wpf, GUI"
(주)탄소중립연구원,[전환형 인턴] 탄소회계 솔루션 웹 백엔드 개발자,"Nodejs, NestJS, DBMSRDBMS, NoSQL, MariaDB, PostgreSQL, MongoDB"
해줌,프론트엔드 개발 팀장,"HTMLCSS, JavaScript, React, Vuejs"
(주) 딥노이드,백엔드 개발자,"Java, Spring, Boot, JPA, NoSQL, MongoDB, Kotlin, Kafka, Kubernetes"
패스트뷰,DevOps Engineer (3년 이상),"AWS, bitnami, Shell, Script, PHP, Python"
(주)원더라운드,여행 플랫폼 WOKA Frontend 개발자,"AWS, HTMLCSS, Git, JavaScript, Nodejs, TypeScript, React"
플루토스디에스 주식회사,프론트엔드 개발자,"React, Angular, Vuejs, HTMLCSS, JavaScript, Redux, MobX, Git, Nextjs, TypeScript"
스테이지랩스,모바일 App,"React, Native, TypeScript, REST, API, swr, Redux, Git, Github"
(주)바틀,웹 크롤러 개발 전문가 Java script 또는 Python,"JavaScript, Python, Java"
커넥션스튜디오,프론트엔드 개발자,"React, TailWindCSS, JavaScript, TypeScript, reactquery, Redux, zustand, GitHub"
휴스테이션,프론트엔드 개발자,"React, HTMLCSS, JavaScript, JIRA"
미리디,[커머스프로덕션] Jr. QA 엔지니어,"Slack, Confluence, JIRA"
빅테크플러스,[빅테크플러스] 풀스택 개발자 채용,"Java, Kotlin, TypeScript, JavaScript, React, CICD, DBMSRDBMS, springjpa, ORM"
(주)애즈랜드,프론트엔트/백엔드,"PHP, JavaScript, jQuery, Ajax, MySQL"
아파트아이,JAVA 백엔드 (대리급) / 5~8년,"Java, Spring, JavaScript, jQuery"
사이벨 헬스 (주),[Sibel Health] 사이벨헬스 클라우드/백엔드 엔지니어 채용 (경력),"Python, AWS, React, JavaScript, Git, CICD, Shell, Script, MySQL, SQL"
플릭,Founding Backend Engineer,"TypeScript, AI, Agent, Google, Cloud, Platform, cursor, RAG"
TIM Robotics,Robotics SLAM & Navigation 엔지니어,"C++, ros, slam, Python, Git"
프록시펙토리,프론트엔드 개발자,"React, Native, HTMLCSS"
더블디,[더블디] NodeJS/Spring 백엔드 개발자 채용 공고,"Nodejs, Spring"
주식회사 서큘러스,SW개발자 채용,"React, tailwindcss, Nodejs, MongoDB, Python, GitHub, JavaScript"
주식회사 젠스타파트너스,Back-end Engineer (5년 이상),"TypeScript, NestJS, JavaScript, MongoDB, Docker, GraphQL, AWS"
피벗 주식회사,React 개발자,"React, reactjs"
와탭랩스,솔루션 엔지니어 / IT 성능 컨설턴트,"Java, AWS, Kubernetes"
센트비,QA,"QA, postman, JIRA, Confluence, Slack"
빅테크플러스,[빅테크플러스] 웹크롤링 (스크래핑) 엔지니어 채용,"Python, infrastructure, api"
(주)인터프로커뮤니케이션,[인터프로인디고] 웹 사이트 개발자 모집,"PHP, HTMLCSS, JavaScript"
주식회사 코아메소드,(주)코아메소드 웹개발 경력직 모집,Java
휴머스온,AI 개발자(ML/Deep Learning/생성형 소재),"Tensorflow, PyTorch, DBMSRDBMS, NoSQL, MySQL, MongoDB, AI"
주식회사 제로엑스플로우,Frontend Engineer(5년 이상),"React, JavaScript"
텔레픽스 주식회사,AI NLP딥러닝 엔지니어,"LLM, multimodal, RAG, Python, AWS, Google, Cloud, Platform, Azure, vectordatabase, LangChain, Docker"
더블디,"[더블디] ESP32 펌웨어, 회로설계 개발자 채용 공고","C, Python"
안전성평가솔루션(주),"JAVA, 프론트 & 백엔드 개발자 팀장급(정규직)","Java, Spring, Boot, Vuejs"
주식회사 비피엘파트너스,구독형 버티컬 인재 매칭 플랫폼,"Flutter, Firebase, Git, JIRA"
(주)모카시스템,웹 프론트엔드 시니어 개발자 모집,"JavaScript, React"
주식회사그로잉랩,백엔드 시니어 개발자,"Nodejs, MySQL, AWS, Github"
(주)디랙스,AWS 소프트웨어 개발자 모집,"Java, Spring, MySQL, AWS, Android, iOS, JSP"
휴레이포지티브,안드로이드 개발자(경력),"RxJava, Jetpack, Kotlin, Java, Android"
(주)캐처스,Python 개발,"Python, JavaScript, TypeScript, Ruby, Elasticsearch, PostgreSQL"
(주)탄소중립연구원,[Net-Zero 선도기업_탄소중립연구원]서비스 운영 지원 백엔드 개발자,"JavaScript, TypeScript, Nodejs, NestJS, ORM, Prisma, TypeORM, PostgreSQL, Docker, awsec"
주식회사 비웰코리아,[일본 취업] SoftBank Corp. 2026년 4월 입사 신입 채용,"mlops, Kaggle, AI"
