company_name,position,skill
북아이피스,프론트엔드 개발자,"AWS, JavaScript, TypeScript, React, Next.js, React Query, Zustand, pnpm, Google Workspace, Notion"
지니언스,Server팀 Frontend 개발 및 유지보수,"HTML5, CSS 3, JavaScript, React, Next.js, AngularJS, Spark Framework, Git, Webpack"
라라잡,웹 프론트엔드 개발자(React 4년 이상),"React Native, JavaScript, TypeScript, Next.js, React Query, Zustand, AWS, Yarn, pnpm, React"
핀즐,프론트엔드 개발자 경력채용(3년~5년),"Next.js, React, TailwindCSS, styled-components, React Query, TypeScript, React Router, Slack, Jira, Notion"
엘리펀트키즈에듀테인먼트,전산팀 앱개발 경력 채용(4~7년),"Java, Spring Boot, Linux, Oracle, Git"
넥써쓰,프론트엔드 개발자[9~11년],"Blockchain, React Native, Next.js, React"
넥써쓰,프론트엔드 개발자[6~8년],"Blockchain, React Native, Next.js, React"
핀즐,프론트엔드 개발자 경력채용(6년~9년),"Next.js, React, TailwindCSS, styled-components, React Query, TypeScript, React Router, Slack, Jira, Notion"
엘리펀트키즈에듀테인먼트,전산팀 앱개발 경력 채용(8년 이상),"Java, Spring Boot, Linux, Oracle, Git"
엠투클라우드,프론트엔드 개발 경력 정규직 채용,"JavaScript, HTML5, CSS 3, AngularJS, AWS, Git, TypeScript"
핀즐,프론트엔드 개발자 경력채용(10년~),"Next.js, React, TailwindCSS, styled-components, React Query, TypeScript, React Router, Slack, Jira, Notion"
위펀,Frontend Engineer(React)(경력 8~12년),"JavaScript, Git, TypeScript, React, Semantic UI, Semantic UI React, Java, HTML5, Vue.js, CSS 3"
위펀,Frontend Engineer(React)(경력 5~7년),"JavaScript, Git, TypeScript, React, Semantic UI, Semantic UI React, Java, HTML5, Vue.js, CSS 3"
엘리펀트키즈에듀테인먼트,프론트엔드 개발자 경력채용(2~4년),"JavaScript, Next.js, TypeScript, Git"
아이트럭,시니어 프론트엔드 개발자,"JavaScript, Kotlin, Node.js, REST API, Java, Python, SQL, Vue.js"
엘리펀트키즈에듀테인먼트,프론트엔드 개발자 경력채용(8~11년),"JavaScript, Next.js, TypeScript, Git"
핌아시아,이커머스 프론트엔드 경력 (과장 이상),"Next.js, AWS, Flutter, JavaScript, TypeScript, Spring Framework, React"
엘리펀트키즈에듀테인먼트,웹개발자 경력(4~7년),"JavaScript, Node.js, React, Vue.js, ASP.NET"
엘리펀트키즈에듀테인먼트,전산팀 앱개발 경력 채용(1~3년),"Java, Spring Boot, Linux, Oracle, Git"
엘리펀트키즈에듀테인먼트,웹개발자 경력(1~3년),"JavaScript, Node.js, React, Vue.js, ASP.NET"
핌아시아,이커머스 프론트엔드 리드 [떠리몰],"Next.js, AWS, Flutter, JavaScript, TypeScript, Spring Framework, React"
