company_name,position,skill
한국전력정보(주),신재생 에너지 거래 플래폼 소프트웨어 개발,"api, Java, NoSQL, Python, AWS, Docker, Kafka"
(주)스플랩,[인재풀] Frontend Developer,"TypeScript, React, Next.js, React Native"
주식회사 유니유니,[주식회사 유니유니] ‘개발 리드’ 채용,"Java, React, Github, Node.js, AWS"
런치팩 주식회사,[런치팩] 테마 프론트엔드 개발(시니어),"Vue.js, 플랫폼 비즈니스"
(주)크라우드웍스,[크라우드웍스] 데이터플랫폼팀 Full-stack 개발자,"vue, React, TypeScript, css, Nuxt.js, nextjs, Sass, Java, Spring Boot, Git"
주식회사 다이노즈,React / Next.js 웹개발자 (경력 2년 이상),"React, Next.js, TypeScript, HTML/CSS, Firebase, Git, GitHub, github-actions"
주식회사 나두모두,[신입/인턴] 소프트웨어 개발자,"Next.js, React, Node.js, AWS, TypeScript"
솔로트립,"프론트엔드 개발자 (React, React.Native)","React, React Native, GraphQL"
(주)에이티앤피파트너즈,프론트엔드 개발자 경력 2년 이상,"React, Node.js, TypeScript, Next.js, aws-ec2, nginx, github-actions, Figma"
21세기전파상,프론트엔드 개발자,"Git, Github, MySQL, SQL, React, React Native, JavaScript, Node.js, AWS"
21세기전파상,시니어 개발자,"Git, Github, AWS, MySQL, SQL, React, React Native, JavaScript, Node.js"
장가 컴퍼니,"PHP 개발자 / fastAPI 개발 (경력무관, 4000이상)","PHP, Python"
(주)편안랩스,프론트엔드 개발자,"React, Next.js, TypeScript, React Native, JavaScript"
홉스,시니어 프론트엔드 엔지니어,"HTML/CSS, React, TypeScript, Next.js, Jest, Git, ESLint, Github, github-actions"
주식회사 코아메소드,(주)코아메소드 웹개발 경력직 모집,Java
주식회사 메가인포아이티,Frontend 개발자(3년이상),"AWS, HTML/CSS, GitHub, JavaScript, React"
테이퍼랩스,Front-end Engineer,"Swift, Flutter, Python, openai, NLP, 인공지능(AI)"
애자일,프론트엔드 개발자,"JavaScript, Vue.js, Java, JSP, 애자일, Jira Cloud, confluence cloud"
(주)원더라운드,여행 플랫폼 WOKA Frontend 개발자,"AWS, HTML/CSS, Git, JavaScript, Node.js, TypeScript, React"
주식회사 오오칠팔구,[경력] 스타트업 프론트엔드 개발자 채용,"Git, React, TypeScript, restful, REST API"
주식회사 브룩허스트거라지,Full Stack Software Engineer,"REST API, React, Vue.js, JavaScript, robot, 드론 개발, Python, C, C++"
(주)쓰리뷰,프론트엔드 개발자 모집,"C#, .NET, MSSQL, MySQL, Java, Swift, Flutter"
아파트아이,프론트엔드 개발자 (React.JS_주니어),"RxJS, React, .NET, Vue.js, DBMS/RDBMS, jQuery"
런치팩 주식회사,"[런치팩_풀스택] 테마, 서비스 부분수정 개발(리드급)","Vue.js, 플랫폼 비즈니스, Django"
주식회사 컨시언스파트너스,Nextjs Engineer,"nextjs, JavaScript, TypeScript, PostgreSQL, supabase"
이빗,[EBIT] AI Trainer (Data Labeler) 개발자(Coder) 모집,"Python, JavaScript, Java, C#, C, C++, PHP"
선데이띵커,[판다랭크] 프론트엔드 개발자,"HTML/CSS, scss, Node.js, Express, jQuery"
커피팅 주식회사,프론트엔드 개발자 (크로스플랫폼 앱),"TypeScript, React Native, react-query, zustand, Node.js, React, AWS"
(주)코딧,[SW] 하반기 프론트엔드 개발자 인턴 채용 (React.js),"JavaScript, HTML/CSS, React, TypeScript"
엑세스 주식회사,프론트엔지니어 개발자(주니어),"JavaScript, Kotlin, Java, react.js, Vue.js, Angular, TypeScript, Next.js, Jetpack, REST API"
(주)디에스랩글로벌,프론트엔드 개발자,"React, HTML/CSS, iOS, Android, Git"
브이아이펫,[재택근무 주1회]펫VIP(브이아이펫)React Native 개발 가능한 풀스텍개발자 모집,"React Native, Java, JavaScript"
에듀클라우드,[에듀클라우드] 풀스택 개발자 경력직(5년 이상) 채용,"React Native, Flutter, expo, Figma, AWS, Docker"
아하앤컴퍼니(주),[아하] 프론트엔드 엔지니어,"Node.js, NestJS, TypeScript, SEO"
(주)필라넷,.NET 웹개발자 채용,"ASP.NET Core, ASP, MSSQL, .NET, jQuery, JavaScript, SharePoint"
엑세스 주식회사,프론트엔지니어 개발자(시니어/미들),"JavaScript, Kotlin, Java, react.js, Vue.js, Angular, TypeScript, Next.js, Jetpack"
빅테크플러스,[빅테크플러스] 풀스택 개발자 채용,"Java, Kotlin, TypeScript, JavaScript, React, CI/CD, DBMS/RDBMS, spring-jpa, ORM, 애자일"
주식회사 서큘러스,SW개발자 채용,"React, tailwind-css, Node.js, MongoDB, Python, GitHub, JavaScript"
피벗 주식회사,React 개발자,"React, react.js"
커넥션스튜디오,프론트엔드 개발자,"React, TailWindCSS, JavaScript, TypeScript, react-query, Redux, zustand, GitHub"
