company_name,position,skill
해킹그로스길드,시니어 솔루션 엔지니어 채용,"mixpanel, GA4, Amplitude, Google Analytics, Google Tag Manager, iOS, Android, Python"
씨드앤,백엔드 개발자 (3년 이상~5년 미만),"JavaScript, Java, AWS, Azure, Next.js, NestJS, express.js"
와탭랩스,백엔드 에이전트 개발자(Node.js),"Node.js, SQL, DBMS/RDBMS, MSA"
주식회사 페칭,[페칭] 패션 플랫폼 Node.js 백엔드 개발자 경력직,"Node.js, TypeScript, NestJS, MySQL, aws-rds, rabbitmq, Next.js, React Native"
한국전력정보(주),신재생 에너지 거래 플래폼 소프트웨어 개발,"api, Java, NoSQL, Python, AWS, Docker, Kafka"
주식회사 페칭,[페칭] 패션 플랫폼 Node.js 백엔드 개발자 주니어 [보충역],"Node.js, TypeScript, NestJS, MySQL, ecs, rabbitmq, React Native"
찾아줘부동산,프롭테크 웹서비스 개발 리딩,"Java, Spring Boot, JPA, MariaDB"
주식회사 유니유니,[주식회사 유니유니] ‘개발 리드’ 채용,"Java, React, Github, Node.js, AWS"
와탭랩스,백엔드 에이전트 개발자(C&C++),"C, C++, SQL, DBMS/RDBMS, MSA"
(주)크라우드웍스,[크라우드웍스] 데이터플랫폼팀 Full-stack 개발자,"vue, React, TypeScript, css, Nuxt.js, nextjs, Sass, Java, Spring Boot, Git"
테이퍼랩스,Backend Engineer,"AWS, Lambda, Node.js, Elasticsearch, openai, 인공지능(AI), NLP"
휴머스온,Service Engineer(SM/운영),"Sass, 고객응대, CX, JIRA, 네트워크, database, Java"
인텔렉투스,Backend(API) SW Engineer,"TypeScript, 아키텍처, serverside-javascript, 빅데이터, 데이터 엔지니어링, database, DBMS/RDBMS, AWS, Google Cloud Platform, aws-serverless"
(주)비와이엔블랙야크,[BYN블랙야크] IT 부문 경력직 상시 인재 pool 등록,"Java, AWS, React, SQL, Spring Boot, Node.js, MySQL, Docker, Kotlin, Vue.js"
21세기전파상,시니어 개발자,"Git, Github, AWS, MySQL, SQL, React, React Native, JavaScript, Node.js"
