company,position,skill
제논,Search Engineer,"AI, Elasticsearch, OpenSearch, weaviate, NLP, ETL, Python, RAG, Docker, Kubernetes"
제논,[인공지능솔루션] Frontend 개발자,"React, GenOS, UIUX, AI, Nextjs, App, Router, TypeScript, HTML, CSS, SCSS, WebSocket, ServerSent, Events, Data, Fetching, Rendering, Routing, QA, Docker, Deep, Learning, Framework"
배럴아이,SW Back-end 개발자,"Backend, AI, DICOM, REST, API, MySQL, RDB, Docker, Git, GitHub"
매도왕,안드로이드 개발자,"Jetpack, Compose, MVVM, Kotlin, Coroutine, Android, UI, REST, API, Git, PythonFastAPI, Django, B2B, SaaS"
아이브릭스,LLM 어플리케이션 개발자,"LLM, RAG, API, Python, ML, GPT, LLaMA, Mistral, xjavascriptTypeScript, React, Nodejs, REST, DevOps, Git, CICD, LangChain, LlamaIndex, Pinecone, Weaviate, Qdrant, AWS, GCP, Azure, Docker, Kubernetes, LLMNLP"
티맵모빌리티,Backend Engineer - 서비스백엔드,"Open, API, AWS, Backend, Java, Kotlin, Scala, Spring, Framework, EKS, RDB, NoSQL, Kafka, Apache, Flink, Airflow"
링크12,CTO: Full-stack,"Tech, Lead, Nextjs, Nestjs, AI, OpenAI, Anthropic, Hugging, Face, DB, Full, Stack, Cursor, Windsurf, MCP, CoPilot, javascriptTypescript, Python, RESTful, API, Docker, AWSGCPAzure, SQL, NoSQL, postgres, ORDBMS, GitHub, Copilot, Claude, ChatGPT, Lovable, Bolt, TensorFlow, Serving, PyTorch, Pinecone, Milvus, Weaviate, LLM"
키즈노트,정보보안 담당자,"ISMSP, B2C"
키즈노트,백엔드 리드,"DB, Python, Rest, API, SQL, Database, NoSQL, Docker, Django, DRF, Celery, MySQL, Redis, RabbitMQ, ELK, GitHub, Sentry"
똑똑,백엔드 리드(시니어) 개발자,"JavaSpring, Boot, RESTful, API, MSA, Google, Cloud, PlatformGCPAWS, PostgreSQL, CICD, Framework, Spring, Database, ORM, MyBatisSpring, Hibernate, Documentation, Swagger, springdoc, Security, JWT, Test, JUnit, Platform, Gitflow"
