company,position,skill
콘센트릭스서비스코리아,[Catalyst]Tech PMO(장애인 특별전형),"Confluence, Jira, Java, AWS, Docker, Spring, Boot, Kafka"
휴머스온,AI 개발자(ML/Deep Learning/생성형 소재),"TensorFlow, PyTorch, MySQL, MongoDB"
패스트레인,프론트엔드 개발자,"React, GitHub, Jira, Confluence, Python"
콘센트릭스서비스코리아,[Catalyst]데이터직군(장애인 특별전형),"Python, R, SQL, Tableau, PowerBI, Google, Analytics, Spring, MachineLearning"
아이디어스투실리콘,Digital Logic 개발/분당R&D,"Verilog, C, C++, C#, Python, VHDL, FPGA, TCPIP, ASIC, Perl"
다큐브,금융/NL2SQL 데이터 사이언티스트,"PyTorch, Transformers, TensorFlow"
아론티어,AI기반 단백질 디자인 (병역특례),"AI, Linux, Python, GitHub, PyTorch"
에이디티,"GUI S/W 설계,개발 채용(15년↑)","Visual, C++, C#, JavaScript, Linux, REST, API"
아파트아이,Java 백엔드 개발자(11~15년),"Spring, JavaScript, jQuery, Java"
아파트아이,Java 백엔드 개발자(5~10년),"Spring, JavaScript, jQuery, Java"
티피씨인터넷,안드로이드 개발자,"Kotlin, Coroutine, Flow"
이카루스,비행선 제어 SW/HW 개발,C++
다큐브,python 에이전트 개발자,"Python, FastAPI"
메이아이,ML Engineer (ML 엔지니어),"FastAPI, Django, PostgreSQL, Airflow, Docker, Kubernetes, AWS, Amazon, SageMaker"
메이아이,ML Researcher (머신러닝 연구원),"MachineLearning, AI"
퍼플아카데미,빅데이터 학습 솔루션 백엔드 개발자,"JavaScript, SQL, BigData, Nodejs, AWS, NestJS"
아론티어,AI기반 바이오마커 예측 (병역특례),"AI, Linux, Python, GitHub, PyTorch"
메이아이,Computer Vision Engineer(CV엔지니어),"MachineLearning, AI"
델레오코리아,[플랫폼개발팀] Java 주니어 개발자,"REST, API, Git, Redis, RabbitMQ, RDB, AWS, Spring, Boot, Kafka, Java"
엑심베이,오프라인 결제 개발자(3~5년),"Java, JavaScript, Spring, Framework, Boot, JSP, Linux, C#"
피엠인터내셔널코리아,ERP 개발자 및 시스템 관리자,"ERP, SAP, Oracle, SQL, Java, Python, JavaScript, REST, API, AWS, AZURE"
올거나이즈코리아,NLP Researcher/Engineer (RAG),"AI, NLP, DeepLearning, Backendless"
안전집사,백엔드 서비스 개발자,"Java, Spring, Boot, OpenAPI"
팬딩,React Native 리드 개발자 (5~10년차),React
언더라이터,서버/백엔드 개발자,"Kotlin, Spring, Boot, AWS, GitHub, Linux, MySQL, Data, JPA, MongoDB"
헤렌,브랜다즈 백엔드개발자(자바/코틀린),"Java, Kotlin, Spring, Boot, Mybatis, MariaDB, MySQL, DataGrip, GitHub, Slack, Notion, Jenkins"
팬딩,프론트엔드 리드 개발자 (5~10년차),Vuejs
헤렌,[공비서] 자바/코틀린 백엔드 개발자,"Java, Kotlin, Spring, Boot, Mybatis, MariaDB, MySQL, DataGrip, GitHub, Slack, Notion, Jenkins"
팬딩,백엔드 리드 개발자 (5~10년차),"REST, API"
바비톡,Web Frontend Developer,"aws, react, TypeScript, JavaScript"
엑셈,빅데이터 시스템 구축 및 운영 담당자,"Java, Docker, Kubernetes, Etl, Hadoop"
알스퀘어,[8년 이상] Web Full Stack개발 경력,"Spring, Boot, Java, AWS, SQL, PostgreSQL, Kotlin, React, Docker, Kubernetes"
이지식스(엠블),[TADA] Infra/DevOps engineer 채용,"AWS, Kubernetes, Infra"
에너자이,AI 컴파일러 엔지니어 채용,"C++, Haskell, DeepLearning, F#, TensorFlow, Scala, PyTorch, C"
코드스테이츠,Product Engineer,"React, Nextjs, TypeScript, REST, API, Bitbucket, AWS, GitHub, Slack, Notion, Jira"
룰루랩,서버/백엔드 개발자,"Java, Kotlin"
퍼퓸그라피,향수 커머스 웹개발자(미들급) 채용,"React, Nodejs, HTML, CSS, JavaScript, jQuery, TypeScript, PHP, Shopify, Figma"
제네시스네스트,Java(Back-End)개발자 [경력 1~8년],"Spring, Java, Linux, Blockchain"
아이스크림아트,백엔드 개발자 총괄 채용,"Nodejs, React, TypeScript, Flutter, AWS, CSS, HTML"
팬택씨앤아이,ERP시스템 신규 개발 및 운영 유지보수,"MSSQL, SQL"
엠로,솔루션 QA담당(경력 6~10년),QA
프리즘투자자문,"프론트엔드 (React, React Native)","React, Native, JavaScript, ES, TypeScript, Redux, mobX, Recoil, Djs, Chartjs"
가레나코리아,[외국계 게임사] 인큐베이션 개발자(신입),"Unity, Unreal, Engine"
에너자이,AI 최적화 Researcher 채용,"AI, TensorFlow, Python, PyTorch, C, C++, MachineLearning"
제네시스네스트,Java(Back-End)개발자 [리더급 9~20년],"Spring, Java, Linux, Blockchain"
에이스웍스코리아,전장설계 엔지니어 (신입/경력),"Autocad, Solidworks"
이마고웍스,AI Engineer - 전문연구요원 가능,"TypeScript, Python, C++, CMake"
에스투더블유,Data Engineer (비웹수집 파이프라인),"Python, Java, REST, API, Git, Argo, Docker, Kubernetes, Kafka, RabbitMQ, RDB"
노아시스템즈,솔루션 프론트엔드(Frontend) 개발자,"GUI, REST, API, JavaScript, React, TypeScript, IntelliJ, IDEA, Visual, Studio, Code, ApexCharts"
에스투더블유,Data Engineer (상주 인턴),"Docker, Hadoop, Kubeflow, Git, MongoDB, Kubernetes, Jenkins, Argo, PyTorch, Kafka"
마카롱팩토리,안드로이드 개발 (3년 이상),"Android, OS, Java, Kotlin, Realm, Flutter"
알스퀘어,프론트엔드 개발자 (8년 이상),"JavaScript, TypeScript, React, vuex, AngularJS, Nextjs, CSS"
커넥트웨이브,써머스플랫폼 서비스기획자 (경력3~10),"Microsoft, Excel"
애자일,SaaS 솔루션 개발 (경력 3~5),"Java, Jira, Oracle, DB, Spring, Boot, Bitbucket, Gradle, Slack, Backpack"
건솔루션,PROJECT관리 PM/PL(4~6년),"C++, MSSQL, MySQL, Python, JSP, SQL, Java"
에스디티,[강남/선릉] 펌웨어 개발 경력직 채용,"FPGA, PCB"
제이티,기구개발 경력 채용(3년~5년),"HW, D, Rendering, SW, Autocad"
