company,position,skill
HB TECHNOLOGY,Computer Vision(2D/3D) SW개발,"OpenCV, C, C++, mlops, CUDA, Python"
주식회사 비피엘파트너스,구독형 버티컬 인재 매칭 플랫폼,"Flutter, Firebase, Git, JIRA"
크몽,Backend Kotlin Developer (5-12년),"Kotlin, Java"
콘센트릭스 Catalyst,이커머스 개발 PM/PL,"Java, Oracle, Spring"
콘센트릭스 Catalyst,SAP Hybris 개발자,"Spring, Java"
(주)합동전자산업,소프트웨어 및 펌웨어 개발자,"C, C++, C#, Java"
(주)리코,Sr. Developer,"Vuejs, TypeScript, Kotlin, Spring, Boot, JPA, querydsl, AWS, Docker, junit"
(주)탄소중립연구원,[전환형 인턴] 탄소회계 솔루션 웹 프론트엔드 개발자,"Vuejs, React, GraphQL, TypeScript"
맨파워그룹코리아,데이터 사이언티스트,"Python, R, Azure, Bootstrap, Principle"
코웨이(주),[코웨이] ERP팀(SAP컨설턴트) 경력직 채용,HR
휴스테이션,프론트엔드 개발자,"React, HTMLCSS, JavaScript, JIRA"
(주)캐시멜로,핀테크기업 [캐시멜로] 백엔드 개발자 채용 (경력3년 이상),"MySQL, Redis, springdatamybatis, Spring, Boot, Java, JPA"
(주)누아,웹(Web) 백엔드 개발자,"Java, springframework"
(주)아이비스,"Embedded SW개발 C++,C 개발자 모집","C++, C, Linux"
버터소프트 주식회사,프론트엔드 개발자,"React, Nextjs, TailWindCSS, Native"
(주)GC케어,HIS System 개발 및 운영,"C#, DBMSRDBMS, MSSQL"
(주)알로카도스,시니어 파이썬 백엔드 엔지니어,"AWS, Django, Docker, Flask, FastAPI, MongoDB, Kubernetes, Redis, MySQL"
누리미디어,[개발운영] 네이티브 앱 개발자 (경력),"Flutter, ObjectiveC, Swift, swiftios, iOS, Java, Kotlin, C++, C#, NET"
(주)퍼브,(주)퍼브 솔루션개발팀 개발자 정규직 채용,"Java, JavaScript, SQL"
(주)스플랩,[umoh] 데이터 라벨링 & 리서치 인턴 모집 🚀,"Excel, Google, Sheets, Python, SQL, Apps, Script"
피벗 주식회사,NestJS 개발자,"JavaScript, TypeScript, Nodejs, NestJS"
와디즈,[와디즈] 자바 백엔드 개발 (병역특례/전문연구요원/전직),"Java, Spring, Boot, REST, API, AWS, Git"
(주)디에스랩글로벌,풀스택 개발자,"React, HTMLCSS, FastAPI, Django"
마야크루,백엔드 개발자,"expressjs, Nodejs, JavaScript, TypeScript, REST, API, MySQL, MongoDB, AWS, Docker, Kubernetes"
(주)디랙스,DB 모델러 모집,"modeling, DBMSRDBMS, MySQL, querytuning"
사이벨 헬스 (주),[Sibel Health] 사이벨헬스 클라우드/백엔드 엔지니어 채용 (경력),"Python, AWS, React, JavaScript, Git, CICD, Shell, Script, MySQL, SQL"
와탭랩스,백엔드 에이전트 개발자(Golang),"GO, SQL, DBMSRDBMS, MSA"
텔레픽스 주식회사,AI NLP딥러닝 엔지니어,"LLM, multimodal, RAG, Python, AWS, Google, Cloud, Platform, Azure, vectordatabase, LangChain, Docker"
21세기전파상,개발 총괄 [CTO],"Git, Github, AWS, MySQL, SQL, JavaScript, React, Native, Nodejs"
(주)위펀,(주)위펀 - Backend Engineer,"Java, Spring, Boot, JPA, querydsl, REST, API, Linux, AWS, MySQL, MariaDB"
TIM Robotics,Robotics Perception & Control 엔지니어,"ros, C++, Python, Shell, Script, Linux, Git"
콘센트릭스 Catalyst,데이터분석가,"Google, Analytics, Python, SQL"
브랜드 인게이지먼트 네트워크 인크,AI 음성 인식 개발자,"Swift, Docker, websockets, grpc, rabbitmq"
휴레이포지티브,머신러닝 개발자,NLP
아하앤컴퍼니(주),[아하] 백엔드 엔지니어,"Nodejs, TypeScript, Docker, AWS, Kubernetes"
이지식스(엠블),[TADA] QA Engineer,"JIRA, Github"
센트비,Backend Engineer (Java/Kotlin),"Kotlin, Java, Spring, Boot, springframework, JPA, Docker, Kubernetes, Git, GitHub, AWS"
(주)코딧,QA 매니저,QA
21세기전파상,백엔드 개발자,"Git, Github, MySQL, SQL, React, Native, JavaScript, Nodejs, AWS"
주식회사 원아이소프트,의류전문 물류 시스템 개발 총괄 CTO 급 PL포지션,"Tensorflow, Linux, Vuejs, Java"
(주)모카시스템,[4.5일제] 안드로이드 개발자 모집,"JavaScript, Kotlin, Swift"
(주)크라우드웍스,[크라우드웍스] AI솔루션팀 Full-stack 개발자,"Python, Java, JavaScript, React, RAG, Linux"
(주)알로카도스,시니어 클라우드 인프라 엔지니어,"AWS, Terraform, Ansible, Django, Docker, Flask, FastAPI, MongoDB, MySQL, Kubernetes"
베링랩,NLP 개발자,"NLP, PyTorch, transformer"
휴레이포지티브,프론트엔드 개발자 (Lead),"TypeScript, Tensorflow, JavaScript, React, vue, Angular"
(주)엔블리스컴즈,백엔드/서버 개발자,"AWS, MySQL, Spring, Boot, BackEnd, Web, API"
(주)캐처스,Ruby On Rails 개발,"Ruby, on, Rails"
뷰메진,[뷰메진]컴퓨터비전 엔지니어 Lead (경력 5년↑),"Linux, OpenCV, Python, Git, Docker, PyTorch, Tensorflow, Github"
(주)야나두,[야나두(야핏)] 안드로이드(AOS) 개발,"Kotlin, Java, MVVM, Jetpack"
인라이플,Java개발 팀장,"Java, Vuejs, api, MySQL, Spring, Boot, mybatis, MariaDB"
타날리시스,[AI/초격차스타트업] 백엔드 엔지니어 (python),"Python, FastAPI, REST, API, MongoDB, MySQL, Docker, Git"
주식회사 더블유쓰리컴퍼니,글로벌 앱 서비스 프론트엔드 개발자 채용,"React, Native, Redux, reduxtoolkit, zustand, JavaScript, TypeScript, Kotlin, Swift"
뷰메진,[뷰메진]컴퓨터비전 엔지니어 Mid / Senior (경력 3년↑),"Linux, OpenCV, Python, Git, Docker, PyTorch, Tensorflow, Github"
(주)크라우드웍스,[크라우드웍스] AI플랫폼팀 Full-stack 개발자(Junior),"Java, Python, https, restful, Linux, LLM, RAG"
TIM Robotics,Robotics SLAM & Navigation 엔지니어,"C++, ros, slam, Python, Git"
주식회사 트라이포드랩,트라이포드랩에서 함께 성장해나갈 리드 개발자를 모십니다.,"Java, Spring, Boot, NestJS, React, AWS, DBMSRDBMS"
올거나이즈코리아주식회사,[AI Startup] 데브옵스 엔지니어,"Docker, Python, Linux"
ms인포테크,iOS 개발자 채용,"iOS, swiftios, Autolayout, Git"
주식회사 페칭,[페칭] 패션 플랫폼 React 프론트엔드 개발자 경력직,"React, Native, nextjs, tailwindcss, Redux"
플루토스디에스 주식회사,"QA, 테스트 엔지니어","SQL, REST, API, Git"
찾아줘부동산,플러터 개발자 or 프론트 개발자 모십니다.,Flutter
뷰메진,[뷰메진]로보틱스 엔지니어 Lead (경력 3년 이상),"Linux, C++, Git, Python"
SK(주) C&C,DBMS(Oracle) 구축 담당 구성원 영입 (촉탁직),"Oracle, DBMSRDBMS"
(주)알로카도스,React-Native 스태프 엔지니어,"React, Native, TypeScript, Swift, ObjectiveC, Kotlin, JavaScript, Java"
(주)캐처스,Python 개발,"Python, JavaScript, TypeScript, Ruby, Elasticsearch, PostgreSQL"
(주)다날,다날 테스트 자동화 개발 담당 경력 채용,"Python, Java"
센트비,QA,"QA, postman, JIRA, Confluence, Slack"
(주)딜러타이어,B2B B2C 서비스 앱 개발자,"React, Native, reactquery, zustand, Git"
콘센트릭스 Catalyst,GA/AA 데이터 분석가,"Google, Analytics, SQL"
리빌더AI,AI 개발자 모집,"Stable, Diffusion, LLM"
CLASS101,소프트웨어 엔지니어,"Java, Kotlin, Spring, Boot, MongoDB, AWS, Kubernetes, Docker, MySQL, React, Native"
(주)유니드,"프론트엔드/백엔드 개발자(Vue, Python, Java)","Vuejs, Flutter, Python, PHP, MySQL, Java"
리빌더AI,[리빌더AI] 백엔드 개발자 모집,"Java, Spring, DBMSRDBMS"
휴머스온,Sr. Backend Engineer,"backend, Java, springframework, REST, API, api, Spring, Boot, programminglanguages"
사이벨 헬스 (주),[Sibel Health] 사이벨헬스 QA엔지니어 채용 (경력),
마이플레이컴퍼니,개발팀 리더,"Python, DjangoRESTFramework, Django, AWS, awsec, Lambda"
더블디,"[더블디] ESP32 펌웨어, 회로설계 개발자 채용 공고","C, Python"
(주)바틀,웹 크롤러 개발 전문가 Java script 또는 Python,"JavaScript, Python, Java"
